Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
437093.823687,704184.7839045692,5638503.103120497,76600.0,351.875,-6.1875,10.5625,1.003921628,-3.0,image6275.jpg,5.0,30U,704184.803504801,5638503.171097716,76487.86016295989,-57.63764613709327,-52.05043754635176
437164.800823,704184.8549920532,5638503.087357797,76500.0,351.625,-5.8125,11.0,1.003921628,-3.0,image6276.jpg,5.0,30U,704184.8588476966,5638503.083764484,76470.6037267922,-57.46552332715908,-51.80043754635176
437227.813218,,,,351.3125,-6.3125,11.9375,1.003921628,0.0,image6277.jpg,,,704184.9082612147,5638503.006303695,76454.92059903586,-57.6247355054752,-51.48793754635176
437291.859729,704184.9429049379,5638502.942355174,76500.0,351.0,-7.8125,13.125,1.003921628,1.0,image6278.jpg,5.0,30U,704184.9583052916,5638502.927371548,76438.79841755377,-57.86520954231344,-51.17543754635176
437359.671708,704185.0279041776,5638502.871467366,76400.0,350.625,-8.3125,14.8125,1.003921628,8.0,image6279.jpg,5.0,30U,704185.0110006597,5638502.843481134,76421.41866041934,-58.08338612785741,-50.80043754635176
437429.231656,,,,350.375,-9.3125,14.0625,1.003921628,14.0,image6280.jpg,,,704185.0647497851,5638502.757185339,76403.3861028479,-58.03404409875088,-50.55043754635176
437492.9715,704185.1048189705,5638502.707475042,76500.0,350.5,-9.3125,15.3125,1.003921628,14.0,image6281.jpg,5.0,30U,704185.1141115933,5638502.678085388,76386.54741244641,-58.26156071343616,-50.67543754635176
437559.047593,704185.2264545802,5638502.600912833,76400.0,352.4375,-9.3125,16.875,1.003921628,11.0,image6282.jpg,5.0,30U,704185.1650342145,5638502.59575823,76368.67376204023,-58.63190187701872,-52.61293754635176
437630.969677,,,,353.75,-9.75,17.6875,1.003921628,4.0,image6283.jpg,,,704185.2198522673,5638502.505839299,76349.01134822682,-58.49108571912359,-53.92543754635176
437692.302177,704185.3019125551,5638502.47397792,76400.0,355.0625,-9.125,17.75,1.003921628,0.0,image6284.jpg,5.0,30U,704185.2668364134,5638502.42919491,76331.7734341683,-58.83859299243477,-55.23793754635176
437757.875354,704185.3766421196,5638502.365571708,76400.0,356.3125,-8.625,18.375,1.003921628,0.0,image6285.jpg,5.0,30U,704185.3166243267,5638502.346860185,76313.18006986546,-59.21860790672645,-56.48793754635176
437829.421083,,,,354.9375,-6.5,18.8125,1.003921628,0.0,image6286.jpg,,,704185.3703295471,5638502.25670228,76292.66517964372,-59.47263813876771,-55.11293754635176
437908.749676,704185.4403735873,5638502.238175795,76400.0,354.625,-6.5625,18.6875,1.003921628,0.0,image6287.jpg,5.0,30U,704185.4294488596,5638502.156447115,76270.048227856,-59.27536454650999,-54.80043754635176
437961.295354,704185.5275580861,5638502.111701887,76300.0,354.0625,-6.0,19.0,1.003921628,0.0,image6288.jpg,5.0,30U,704185.4689651752,5638502.089959193,76253.5925430712,-59.84741669750332,-54.23793754635176
438029.787176,,,,353.25,-6.3125,19.3125,1.003921628,0.0,image6289.jpg,,,704185.5195283557,5638502.002917339,76232.79451001406,-59.93853347066198,-53.42543754635176
438095.757906,704185.6037444891,5638501.966238272,76300.0,352.5625,-6.0,18.875,1.003921628,7.0,image6290.jpg,5.0,30U,704185.5681527602,5638501.918905669,76212.52764381553,-60.2640471080137,-52.73793754635176
438165.60051,704185.6909289961,5638501.839764367,76200.0,351.75,-7.0,17.625,1.003921628,11.0,image6291.jpg,5.0,30U,704185.6191766348,5638501.829581578,76190.93361478463,-60.546655650189,-51.92543754635176
438233.32551,,,,352.0,-7.0,18.375,1.003921628,11.0,image6292.jpg,,,704185.6682117266,5638501.742747441,76169.67105645013,-60.66065186266752,-52.17543754635176
438302.023374,704185.7642017462,5638501.768415566,76100.0,352.4375,-9.0625,21.3125,1.003921628,2.0,image6293.jpg,5.0,30U,704185.7178193802,5638501.654489718,76148.09317902598,-61.015721845647874,-52.61293754635176
438358.144676,,,,353.5,-8.9375,20.875,1.003921628,0.0,image6294.jpg,,,704185.7580408663,5638501.581881257,76129.62453700684,-61.19663509495024,-53.67543754635176
438428.270353,704185.8631127772,5638501.642402666,76100.0,353.125,-8.375,18.1875,1.003921628,1.0,image6295.jpg,5.0,30U,704185.8079737214,5638501.491066365,76107.50906862068,-61.45744033196917,-53.30043754635176
438496.130405,704185.9275726799,5638501.496478056,76000.0,352.9375,-5.9375,17.875,1.003921628,6.0,image6296.jpg,5.0,30U,704185.8560347153,5638501.40270561,76085.95152791866,-61.87199521994086,-53.11293754635176
438559.092333,704186.0030306857,5638501.369543149,76000.0,352.4375,-4.8125,19.875,1.003921628,11.0,image6297.jpg,5.0,30U,704185.9001497474,5638501.3201826,76065.70832696049,-62.16060808221721,-52.61293754635176
438628.141343,,,,351.5625,-4.25,20.125,1.003921628,18.0,image6298.jpg,,,704185.9480527667,5638501.229477652,76043.95198217391,-62.22465635250365,-51.73793754635176
438698.097645,704186.0909436275,5638501.224540547,75900.0,352.3125,-4.75,18.375,1.003921628,19.0,image6299.jpg,5.0,30U,704185.9965070364,5638501.137480012,76021.96376367945,-62.78771895193108,-52.48793754635176
438758.946551,,,,354.0,-3.5625,18.0625,1.003921628,19.0,image6300.jpg,,,704186.0380024796,5638501.056781163,76002.49964666791,-62.804318873124885,-54.17543754635176
438826.954207,704186.1444054404,5638501.059626232,75900.0,355.75,-3.4375,17.625,1.003921628,18.0,image6301.jpg,5.0,30U,704186.0843114808,5638500.966656883,75981.21399192324,-62.895546017886886,-55.92543754635176
438899.452541,704186.2198634569,5638500.932691331,75900.0,358.25,-3.6875,19.8125,1.003921628,14.0,image6302.jpg,5.0,30U,704186.1335629306,5638500.870429558,75958.99229836535,-63.56750038698488,-58.42543754635176
438960.428843,704186.2740536928,5638500.749248315,75900.0,358.9375,-2.75,19.0,1.003921628,-1.0,image6303.jpg,5.0,30U,704186.174202008,5638500.788679132,75939.79296066683,-63.50268158826202,-59.11293754635176
439030.936603,,,,1.1875,-3.9375,18.625,1.003921628,0.0,image6304.jpg,,,704186.2211619791,5638500.694480961,75918.22283842353,-63.761456813445136,-61.36293754635176
439096.013426,704186.3253302642,5638500.639920112,75900.0,0.75,-2.9375,17.5625,1.003921628,0.0,image6305.jpg,5.0,30U,704186.2641947052,5638500.60717522,75898.1786587828,-64.09123844948277,-60.92543754635176
439160.028166,704186.3663371536,5638500.493073499,75900.0,0.875,-2.75,17.5625,1.003921628,0.0,image6306.jpg,5.0,30U,704186.3060971616,5638500.52091409,75878.40634747404,-64.07170590057456,-61.05043754635176
