Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone
14257.362703,704054839.276705,5638912362.598886,93700.0,356.1875,-4.4375,8.375,1.003921628,1.0,image212.jpg,2.0,30U
14324.74864,704054879.549759,5638912234.280057,93700.0,355.75,-4.9375,8.25,1.003921628,0.0,image213.jpg,2.0,30U
14388.810828,,,,355.5,-4.625,7.6875,1.003921628,0.0,image214.jpg,,
14457.145619,704054954.2715112,5638912125.872138,93700.0,355.1875,-5.3125,8.3125,1.003921628,1.0,image215.jpg,2.0,30U
14528.749786,704055018.7237761,5638911979.946056,93700.0,354.9375,-5.3125,8.3125,1.003921628,2.0,image216.jpg,2.0,30U
14589.712026,,,,354.75,-5.5,8.8125,1.003921628,1.0,image217.jpg,,
14658.058484,704055069.2663267,5638911889.145394,93700.0,354.625,-6.125,7.9375,1.003921628,1.0,image218.jpg,2.0,30U
14723.376192,704055132.2625058,5638911780.276748,93700.0,354.5625,-6.3125,8.5,1.003921628,0.0,image219.jpg,2.0,30U
14788.851921,,,,354.25,-6.6875,8.25,1.003921628,0.0,image220.jpg,,
14860.855098,704055195.9867333,5638911652.879384,93600.0,353.9375,-5.75,8.3125,1.003921628,0.0,image221.jpg,5.0,30U
14925.205203,704055258.2548716,5638911562.539455,93600.0,353.8125,-5.5625,8.25,1.003921628,0.0,image222.jpg,5.0,30U
14991.362338,,,,353.5,-5.1875,8.0,1.003921628,2.0,image223.jpg,,
15055.526869,704055333.7046864,5638911435.602824,93600.0,353.3125,-5.8125,8.4375,1.003921628,1.0,image224.jpg,5.0,30U
15129.125203,704055374.7058039,5638911288.755281,93600.0,353.0,-5.5,8.0,1.003921628,5.0,image225.jpg,5.0,30U
15191.519994,,,,353.0,-5.8125,7.875,1.003921628,5.0,image226.jpg,,
15256.91489,704055437.7019956,5638911179.886638,93600.0,352.75,-5.1875,8.0,1.003921628,7.0,image227.jpg,5.0,30U
15330.7489,704055500.6981899,5638911071.017994,93600.0,353.3125,-5.1875,8.5625,1.003921628,0.0,image228.jpg,5.0,30U
15390.082963,,,,353.5625,-5.5,8.4375,1.003921628,1.0,image229.jpg,,
15458.554265,704055587.8736018,5638910944.542099,93600.0,354.125,-5.3125,8.0625,1.003921628,1.0,image230.jpg,5.0,30U
15524.486036,704055639.8722653,5638910816.684009,93600.0,354.0625,-4.75,9.5,1.003921628,0.0,image231.jpg,5.0,30U
15594.131973,,,,353.6875,-5.6875,7.875,1.003921628,0.0,image232.jpg,,
15659.125775,704055691.8709311,5638910688.825916,93600.0,353.5,-5.6875,8.375,1.003921628,4.0,image233.jpg,5.0,30U
15726.687338,704055742.413504,5638910598.025261,93500.0,353.125,-5.9375,8.125,1.003921628,9.0,image234.jpg,5.0,30U
15793.770879,,,,353.5,-6.6875,8.125,1.003921628,9.0,image235.jpg,,
